"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3"
57,218,"SDN","Sudan",3,"Blue Nile",17,"Geissan",57,"Geissan","Unknown","Unknown",NA,NA
58,218,"SDN","Sudan",3,"Blue Nile",17,"Geissan",58,"Keili","Unknown","Unknown",NA,NA
59,218,"SDN","Sudan",4,"Central Darfur",18,"Mukjar",59,"Garseila","Unknown","Unknown",NA,NA
60,218,"SDN","Sudan",4,"Central Darfur",18,"Mukjar",60,"Mukjar","Unknown","Unknown",NA,NA
61,218,"SDN","Sudan",4,"Central Darfur",18,"Mukjar",61,"Zamabaya","Unknown","Unknown",NA,NA
62,218,"SDN","Sudan",4,"Central Darfur",19,"Zallingi",62,"Azom","Unknown","Unknown",NA,NA
63,218,"SDN","Sudan",4,"Central Darfur",19,"Zallingi",63,"Gulu","Unknown","Unknown",NA,NA
64,218,"SDN","Sudan",4,"Central Darfur",19,"Zallingi",64,"Nertiti","Unknown","Unknown",NA,NA
65,218,"SDN","Sudan",4,"Central Darfur",19,"Zallingi",65,"Rokerro","Unknown","Unknown",NA,NA
66,218,"SDN","Sudan",4,"Central Darfur",19,"Zallingi",66,"Zalingei","Unknown","Unknown",NA,NA
67,218,"SDN","Sudan",5,"East Darfur",20,"Al Deain",67,"Abu Matariq","Unknown","Unknown",NA,NA
68,218,"SDN","Sudan",5,"East Darfur",20,"Al Deain",68,"Adeila","Unknown","Unknown",NA,NA
69,218,"SDN","Sudan",5,"East Darfur",20,"Al Deain",69,"Ed D Aein","Unknown","Unknown",NA,NA
70,218,"SDN","Sudan",5,"East Darfur",20,"Al Deain",70,"Ferdous","Unknown","Unknown",NA,NA
71,218,"SDN","Sudan",5,"East Darfur",21,"Nyala",71,"Nyalla East","Unknown","Unknown",NA,NA
72,218,"SDN","Sudan",6,"Kassala",22,"Al Gash",72,"Aroma","Unknown","Unknown",NA,NA
73,218,"SDN","Sudan",6,"Kassala",22,"Al Gash",73,"Genoub El Dalta","Unknown","Unknown",NA,NA
74,218,"SDN","Sudan",6,"Kassala",22,"Al Gash",74,"Qoz Regeb","Unknown","Unknown",NA,NA
75,218,"SDN","Sudan",6,"Kassala",22,"Al Gash",75,"Shmal El Dalta","Unknown","Unknown",NA,NA
76,218,"SDN","Sudan",6,"Kassala",23,"Hamashkorieb",76,"El Hudud","Unknown","Unknown",NA,NA
77,218,"SDN","Sudan",6,"Kassala",24,"Kassala",77,"Kassala","Unknown","Unknown",NA,NA
78,218,"SDN","Sudan",6,"Kassala",25,"Nahr Atbara",78,"El Masana","Unknown","Unknown",NA,NA
79,218,"SDN","Sudan",6,"Kassala",25,"Nahr Atbara",79,"New Halfa","Unknown","Unknown",NA,NA
80,218,"SDN","Sudan",6,"Kassala",25,"Nahr Atbara",80,"Sabaat","Unknown","Unknown",NA,NA
81,218,"SDN","Sudan",6,"Kassala",26,"Seteet",81,"Unknown1","Unknown","Unknown",NA,NA
82,218,"SDN","Sudan",7,"Khartoum",27,"Karary",82,"Omdurman Shamel","Unknown","Unknown",NA,NA
83,218,"SDN","Sudan",7,"Khartoum",28,"Khartoum Bahri",83,"El Geili","Unknown","Unknown",NA,NA
84,218,"SDN","Sudan",7,"Khartoum",28,"Khartoum Bahri",84,"Es Sileit","Unknown","Unknown",NA,NA
85,218,"SDN","Sudan",7,"Khartoum",28,"Khartoum Bahri",85,"Khartoum North","Unknown","Unknown",NA,NA
86,218,"SDN","Sudan",7,"Khartoum",29,"Khartoum",86,"Khartoum Shamel","Unknown","Unknown",NA,NA
87,218,"SDN","Sudan",7,"Khartoum",30,"Omdurman",87,"Omdurman Genoub","Unknown","Unknown",NA,NA
88,218,"SDN","Sudan",7,"Khartoum",31,"Sharg En Nile",88,"Abu Deleig","Unknown","Unknown",NA,NA
89,218,"SDN","Sudan",7,"Khartoum",31,"Sharg En Nile",89,"Alalafon","Unknown","Unknown",NA,NA
90,218,"SDN","Sudan",7,"Khartoum",31,"Sharg En Nile",90,"Alaseilat","Unknown","Unknown",NA,NA
91,218,"SDN","Sudan",7,"Khartoum",31,"Sharg En Nile",91,"Umm Dounban","Unknown","Unknown",NA,NA
92,218,"SDN","Sudan",7,"Khartoum",32,"South Khartoum",92,"Jebel Aulia","Unknown","Unknown",NA,NA
93,218,"SDN","Sudan",7,"Khartoum",33,"Um Badda",93,"Omdurman Gharb","Unknown","Unknown",NA,NA
94,218,"SDN","Sudan",8,"North Darfur",34,"Al Fasher",94,"El Fashir","Unknown","Unknown",NA,NA
95,218,"SDN","Sudan",8,"North Darfur",34,"Al Fasher",95,"Kattal","Unknown","Unknown",NA,NA
96,218,"SDN","Sudan",8,"North Darfur",34,"Al Fasher",96,"Korma","Unknown","Unknown",NA,NA
97,218,"SDN","Sudan",8,"North Darfur",34,"Al Fasher",97,"Tawilah","Unknown","Unknown",NA,NA
98,218,"SDN","Sudan",8,"North Darfur",35,"Kabkabiya",98,"Es Serif","Unknown","Unknown",NA,NA
99,218,"SDN","Sudan",8,"North Darfur",35,"Kabkabiya",99,"Kabkabiya","Unknown","Unknown",NA,NA
100,218,"SDN","Sudan",8,"North Darfur",35,"Kabkabiya",100,"Serif Omar","Unknown","Unknown",NA,NA
101,218,"SDN","Sudan",8,"North Darfur",36,"Kutum",101,"Karnoy","Unknown","Unknown",NA,NA
102,218,"SDN","Sudan",8,"North Darfur",36,"Kutum",102,"Kottom","Unknown","Unknown",NA,NA
103,218,"SDN","Sudan",8,"North Darfur",37,"Mellit",103,"El Maleha","Unknown","Unknown",NA,NA
104,218,"SDN","Sudan",8,"North Darfur",37,"Mellit",104,"Millet","Unknown","Unknown",NA,NA
105,218,"SDN","Sudan",8,"North Darfur",37,"Mellit",105,"Umm Barro","Unknown","Unknown",NA,NA
106,218,"SDN","Sudan",8,"North Darfur",38,"Um Kadada",106,"El Le Aeit En Nabi","Unknown","Unknown",NA,NA
107,218,"SDN","Sudan",8,"North Darfur",38,"Um Kadada",107,"Umm Kedada","Unknown","Unknown",NA,NA
108,218,"SDN","Sudan",9,"North Kurdufan",39,"Bara",108,"Abu Haraz","Unknown","Unknown",NA,NA
109,218,"SDN","Sudan",9,"North Kurdufan",39,"Bara",109,"Kazgeil","Unknown","Unknown",NA,NA
110,218,"SDN","Sudan",9,"North Kurdufan",39,"Bara",110,"Khur Taget","Unknown","Unknown",NA,NA
111,218,"SDN","Sudan",9,"North Kurdufan",39,"Bara",111,"Umm Ashira","Unknown","Unknown",NA,NA
112,218,"SDN","Sudan",9,"North Kurdufan",40,"Jebrat al Sheikh",112,"Jebrat Esh Sheikh","Unknown","Unknown",NA,NA
113,218,"SDN","Sudan",9,"North Kurdufan",41,"Sheikan",113,"Bara","Unknown","Unknown",NA,NA
114,218,"SDN","Sudan",9,"North Kurdufan",41,"Sheikan",114,"El Mazroub","Unknown","Unknown",NA,NA
115,218,"SDN","Sudan",9,"North Kurdufan",41,"Sheikan",115,"Greigikh","Unknown","Unknown",NA,NA
116,218,"SDN","Sudan",9,"North Kurdufan",41,"Sheikan",116,"Tayba","Unknown","Unknown",NA,NA
117,218,"SDN","Sudan",9,"North Kurdufan",41,"Sheikan",117,"Umm Gerfa","Unknown","Unknown",NA,NA
118,218,"SDN","Sudan",9,"North Kurdufan",41,"Sheikan",118,"Umm Kereidim","Unknown","Unknown",NA,NA
119,218,"SDN","Sudan",9,"North Kurdufan",41,"Sheikan",119,"Umm Sayala","Unknown","Unknown",NA,NA
120,218,"SDN","Sudan",9,"North Kurdufan",42,"Sowdari",120,"Hamrat El Wiz","Unknown","Unknown",NA,NA
121,218,"SDN","Sudan",9,"North Kurdufan",42,"Sowdari",121,"Hamrat Esh Sheikh","Unknown","Unknown",NA,NA
122,218,"SDN","Sudan",9,"North Kurdufan",42,"Sowdari",122,"Sawdari","Unknown","Unknown",NA,NA
123,218,"SDN","Sudan",9,"North Kurdufan",42,"Sowdari",123,"Umm Bader","Unknown","Unknown",NA,NA
124,218,"SDN","Sudan",9,"North Kurdufan",43,"Um Rawaba",124,"Er Rahad","Unknown","Unknown",NA,NA
125,218,"SDN","Sudan",9,"North Kurdufan",43,"Um Rawaba",125,"Shirkeila","Unknown","Unknown",NA,NA
126,218,"SDN","Sudan",9,"North Kurdufan",43,"Um Rawaba",126,"Umm Dam","Unknown","Unknown",NA,NA
127,218,"SDN","Sudan",9,"North Kurdufan",43,"Um Rawaba",127,"Umm Rawaba","Unknown","Unknown",NA,NA
128,218,"SDN","Sudan",9,"North Kurdufan",43,"Um Rawaba",128,"Wad Ashana","Unknown","Unknown",NA,NA
129,218,"SDN","Sudan",10,"Northern",44,"Addabah",129,"Ed Dabba","Unknown","Unknown",NA,NA
130,218,"SDN","Sudan",10,"Northern",45,"Dongola",130,"Argo","Unknown","Unknown",NA,NA
131,218,"SDN","Sudan",10,"Northern",45,"Dongola",131,"Dongola","Unknown","Unknown",NA,NA
132,218,"SDN","Sudan",10,"Northern",45,"Dongola",132,"El Golid","Unknown","Unknown",NA,NA
133,218,"SDN","Sudan",10,"Northern",46,"Merawi",133,"Karima","Unknown","Unknown",NA,NA
134,218,"SDN","Sudan",10,"Northern",46,"Merawi",134,"Marawi","Unknown","Unknown",NA,NA
135,218,"SDN","Sudan",10,"Northern",47,"Wadi Halfa",135,"Abri","Unknown","Unknown",NA,NA
136,218,"SDN","Sudan",10,"Northern",47,"Wadi Halfa",136,"Delgo","Unknown","Unknown",NA,NA
137,218,"SDN","Sudan",10,"Northern",47,"Wadi Halfa",137,"Wadi Halfa","Unknown","Unknown",NA,NA
138,218,"SDN","Sudan",11,"Red Sea",48,"Halayeb",138,"Atbai","Unknown","Unknown",NA,NA
139,218,"SDN","Sudan",11,"Red Sea",48,"Halayeb",139,"Gebeit Maadin","Unknown","Unknown",NA,NA
140,218,"SDN","Sudan",11,"Red Sea",49,"Port Sudan",140,"Port Sudan","Unknown","Unknown",NA,NA
141,218,"SDN","Sudan",11,"Red Sea",49,"Port Sudan",141,"Sawakin Town","Unknown","Unknown",NA,NA
142,218,"SDN","Sudan",11,"Red Sea",50,"Sinkat",142,"Dordeib","Unknown","Unknown",NA,NA
143,218,"SDN","Sudan",11,"Red Sea",50,"Sinkat",143,"Gebeit","Unknown","Unknown",NA,NA
144,218,"SDN","Sudan",11,"Red Sea",50,"Sinkat",144,"Haya","Unknown","Unknown",NA,NA
145,218,"SDN","Sudan",11,"Red Sea",50,"Sinkat",145,"Mosamar","Unknown","Unknown",NA,NA
146,218,"SDN","Sudan",11,"Red Sea",50,"Sinkat",146,"Sinkat","Unknown","Unknown",NA,NA
147,218,"SDN","Sudan",11,"Red Sea",51,"Tokar",147,"Tokar Genoub","Unknown","Unknown",NA,NA
148,218,"SDN","Sudan",11,"Red Sea",51,"Tokar",148,"Tokar North","Unknown","Unknown",NA,NA
149,218,"SDN","Sudan",12,"River Nile",52,"Abu Hamad",149,"Abu Hamad","Unknown","Unknown",NA,NA
150,218,"SDN","Sudan",12,"River Nile",52,"Abu Hamad",150,"El Shereik","Unknown","Unknown",NA,NA
151,218,"SDN","Sudan",12,"River Nile",52,"Abu Hamad",151,"Sherri","Unknown","Unknown",NA,NA
152,218,"SDN","Sudan",12,"River Nile",53,"Ad Damer",152,"Ez Zeidab","Unknown","Unknown",NA,NA
153,218,"SDN","Sudan",12,"River Nile",54,"Al Matammah",153,"El Matammah","Unknown","Unknown",NA,NA
154,218,"SDN","Sudan",12,"River Nile",54,"Al Matammah",154,"Wad Hamed","Unknown","Unknown",NA,NA
155,218,"SDN","Sudan",12,"River Nile",55,"Atbara",155,"Ed Damar","Unknown","Unknown",NA,NA
156,218,"SDN","Sudan",12,"River Nile",55,"Atbara",156,"Sidon","Unknown","Unknown",NA,NA
157,218,"SDN","Sudan",12,"River Nile",56,"Berber",157,"Barbar","Unknown","Unknown",NA,NA
158,218,"SDN","Sudan",12,"River Nile",56,"Berber",158,"El Bauga","Unknown","Unknown",NA,NA
159,218,"SDN","Sudan",12,"River Nile",57,"Shendi",159,"Shendi","Unknown","Unknown",NA,NA
160,218,"SDN","Sudan",13,"Sennar",58,"Ad Dinder",160,"Eastern Dinder","Unknown","Unknown",NA,NA
161,218,"SDN","Sudan",13,"Sennar",58,"Ad Dinder",161,"Es Suki","Unknown","Unknown",NA,NA
162,218,"SDN","Sudan",13,"Sennar",58,"Ad Dinder",162,"Karkoj","Unknown","Unknown",NA,NA
163,218,"SDN","Sudan",13,"Sennar",58,"Ad Dinder",163,"Western Dinder","Unknown","Unknown",NA,NA
164,218,"SDN","Sudan",13,"Sennar",59,"Sennar",164,"Doba","Unknown","Unknown",NA,NA
165,218,"SDN","Sudan",13,"Sennar",59,"Sennar",165,"Hamadna Allah","Unknown","Unknown",NA,NA
166,218,"SDN","Sudan",13,"Sennar",59,"Sennar",166,"Sennar Junction","Unknown","Unknown",NA,NA
167,218,"SDN","Sudan",13,"Sennar",59,"Sennar",167,"Sugar","Unknown","Unknown",NA,NA
168,218,"SDN","Sudan",13,"Sennar",59,"Sennar",168,"Wad Al Abbasi","Unknown","Unknown",NA,NA
169,218,"SDN","Sudan",13,"Sennar",59,"Sennar",169,"Wad Taktok","Unknown","Unknown",NA,NA
170,218,"SDN","Sudan",13,"Sennar",60,"Singa",170,"Abu Hajar","Unknown","Unknown",NA,NA
171,218,"SDN","Sudan",13,"Sennar",60,"Singa",171,"Dali","Unknown","Unknown",NA,NA
172,218,"SDN","Sudan",13,"Sennar",60,"Singa",172,"Er Ramash","Unknown","Unknown",NA,NA
173,218,"SDN","Sudan",13,"Sennar",60,"Singa",173,"Mazmum","Unknown","Unknown",NA,NA
174,218,"SDN","Sudan",13,"Sennar",60,"Singa",174,"Umm Shuka","Unknown","Unknown",NA,NA
175,218,"SDN","Sudan",13,"Sennar",60,"Singa",175,"Wad El Neil","Unknown","Unknown",NA,NA
176,218,"SDN","Sudan",14,"South Darfur",61,"Buram",176,"Buram","Unknown","Unknown",NA,NA
177,218,"SDN","Sudan",14,"South Darfur",61,"Buram",177,"Er Radom","Unknown","Unknown",NA,NA
178,218,"SDN","Sudan",14,"South Darfur",61,"Buram",178,"Gereida","Unknown","Unknown",NA,NA
179,218,"SDN","Sudan",14,"South Darfur",62,"Id El Ghanem",179,"Idd El Ghanem","Unknown","Unknown",NA,NA
180,218,"SDN","Sudan",14,"South Darfur",62,"Id El Ghanem",180,"Kiteila","Unknown","Unknown",NA,NA
181,218,"SDN","Sudan",14,"South Darfur",62,"Id El Ghanem",181,"Kubum","Unknown","Unknown",NA,NA
182,218,"SDN","Sudan",14,"South Darfur",62,"Id El Ghanem",182,"Reheid El Birdi","Unknown","Unknown",NA,NA
183,218,"SDN","Sudan",14,"South Darfur",63,"Kas",183,"Kass","Unknown","Unknown",NA,NA
184,218,"SDN","Sudan",14,"South Darfur",64,"Nyala",184,"Nyalla North","Unknown","Unknown",NA,NA
185,218,"SDN","Sudan",14,"South Darfur",64,"Nyala",185,"Nyalla South West","Unknown","Unknown",NA,NA
186,218,"SDN","Sudan",14,"South Darfur",65,"Tulus",186,"Tulus","Unknown","Unknown",NA,NA
187,218,"SDN","Sudan",15,"South Kurdufan",66,"Abu Jubaiyah",187,"Abu Jubayhah","Unknown","Unknown",NA,NA
188,218,"SDN","Sudan",15,"South Kurdufan",67,"Dilling",188,"Debeibat","Unknown","Unknown",NA,NA
189,218,"SDN","Sudan",15,"South Kurdufan",67,"Dilling",189,"Dulami","Unknown","Unknown",NA,NA
190,218,"SDN","Sudan",15,"South Kurdufan",67,"Dilling",190,"Habeila","Unknown","Unknown",NA,NA
191,218,"SDN","Sudan",15,"South Kurdufan",67,"Dilling",191,"Hamadi","Unknown","Unknown",NA,NA
192,218,"SDN","Sudan",15,"South Kurdufan",67,"Dilling",192,"Kurgul","Unknown","Unknown",NA,NA
193,218,"SDN","Sudan",15,"South Kurdufan",67,"Dilling",193,"Salara","Unknown","Unknown",NA,NA
194,218,"SDN","Sudan",15,"South Kurdufan",68,"Kadugli",194,"Buram","Unknown","Unknown",NA,NA
195,218,"SDN","Sudan",15,"South Kurdufan",68,"Kadugli",195,"Heiban","Unknown","Unknown",NA,NA
196,218,"SDN","Sudan",15,"South Kurdufan",68,"Kadugli",196,"Kadugli","Unknown","Unknown",NA,NA
197,218,"SDN","Sudan",15,"South Kurdufan",68,"Kadugli",197,"Umm Durin","Unknown","Unknown",NA,NA
198,218,"SDN","Sudan",15,"South Kurdufan",69,"Rashad",198,"Abbasiya","Unknown","Unknown",NA,NA
199,218,"SDN","Sudan",15,"South Kurdufan",69,"Rashad",199,"Rashad","Unknown","Unknown",NA,NA
200,218,"SDN","Sudan",15,"South Kurdufan",70,"Talodi",200,"Talodi","Unknown","Unknown",NA,NA
201,218,"SDN","Sudan",16,"West Darfur",71,"Al Geneina",201,"El Geneina","Unknown","Unknown",NA,NA
202,218,"SDN","Sudan",16,"West Darfur",71,"Al Geneina",202,"Habeila","Unknown","Unknown",NA,NA
203,218,"SDN","Sudan",16,"West Darfur",71,"Al Geneina",203,"Silel Ah","Unknown","Unknown",NA,NA
204,218,"SDN","Sudan",17,"West Kurdufan",72,"Abyei",204,"Abyei","Unknown","Unknown",NA,NA
205,218,"SDN","Sudan",17,"West Kurdufan",72,"Abyei",205,"Al Muglad","Unknown","Unknown",NA,NA
206,218,"SDN","Sudan",17,"West Kurdufan",73,"As Salam",206,"El Fula","Unknown","Unknown",NA,NA
207,218,"SDN","Sudan",17,"West Kurdufan",74,"En Nuhud",207,"Abu Zabad","Unknown","Unknown",NA,NA
208,218,"SDN","Sudan",17,"West Kurdufan",74,"En Nuhud",208,"El Kheway","Unknown","Unknown",NA,NA
209,218,"SDN","Sudan",17,"West Kurdufan",74,"En Nuhud",209,"El Nuhud","Unknown","Unknown",NA,NA
210,218,"SDN","Sudan",17,"West Kurdufan",74,"En Nuhud",210,"Wad Benda","Unknown","Unknown",NA,NA
211,218,"SDN","Sudan",17,"West Kurdufan",75,"Ghebeish",211,"Ghebeish","Unknown","Unknown",NA,NA
212,218,"SDN","Sudan",17,"West Kurdufan",75,"Ghebeish",212,"Odeiya","Unknown","Unknown",NA,NA
213,218,"SDN","Sudan",17,"West Kurdufan",75,"Ghebeish",213,"Soqa Ej Jamel","Unknown","Unknown",NA,NA
214,218,"SDN","Sudan",17,"West Kurdufan",76,"Lagawa",214,"Legawa","Unknown","Unknown",NA,NA
215,218,"SDN","Sudan",18,"White Nile",77,"Ad Douiem",215,"Aid El Aud","Unknown","Unknown",NA,NA
216,218,"SDN","Sudan",18,"White Nile",77,"Ad Douiem",216,"El Arishcol","Unknown","Unknown",NA,NA
217,218,"SDN","Sudan",18,"White Nile",77,"Ad Douiem",217,"El Halba","Unknown","Unknown",NA,NA
218,218,"SDN","Sudan",18,"White Nile",77,"Ad Douiem",218,"El Kereida","Unknown","Unknown",NA,NA
219,218,"SDN","Sudan",18,"White Nile",77,"Ad Douiem",219,"El Wahda","Unknown","Unknown",NA,NA
220,218,"SDN","Sudan",18,"White Nile",77,"Ad Douiem",220,"Ez Zireiqa","Unknown","Unknown",NA,NA
221,218,"SDN","Sudan",18,"White Nile",77,"Ad Douiem",221,"Shegeiq","Unknown","Unknown",NA,NA
222,218,"SDN","Sudan",18,"White Nile",77,"Ad Douiem",222,"Umm Remta","Unknown","Unknown",NA,NA
223,218,"SDN","Sudan",18,"White Nile",78,"Al Gutaina",223,"El Kawa","Unknown","Unknown",NA,NA
224,218,"SDN","Sudan",18,"White Nile",78,"Al Gutaina",224,"Es Shikh Es Sadeq","Unknown","Unknown",NA,NA
225,218,"SDN","Sudan",18,"White Nile",78,"Al Gutaina",225,"Hashab","Unknown","Unknown",NA,NA
226,218,"SDN","Sudan",18,"White Nile",78,"Al Gutaina",226,"Na Eima","Unknown","Unknown",NA,NA
227,218,"SDN","Sudan",18,"White Nile",78,"Al Gutaina",227,"Wad Jar En Nabi","Unknown","Unknown",NA,NA
228,218,"SDN","Sudan",18,"White Nile",79,"Al Jabalian",228,"Abba Island","Unknown","Unknown",NA,NA
229,218,"SDN","Sudan",18,"White Nile",79,"Al Jabalian",229,"Eg Gebelein","Unknown","Unknown",NA,NA
230,218,"SDN","Sudan",18,"White Nile",79,"Al Jabalian",230,"Rabak","Unknown","Unknown",NA,NA
231,218,"SDN","Sudan",18,"White Nile",80,"Kosti",231,"Abu Rukba","Unknown","Unknown",NA,NA
232,218,"SDN","Sudan",18,"White Nile",80,"Kosti",232,"En Naeim","Unknown","Unknown",NA,NA
